id,name,price,price_mayorista,category,description,image
"17786951739233z6n","Access Point Tplink 850RE",59000,0,"Redes","Importado masivamente","assets/products/prod_17786951739233z6n.jpg"
"1778695173925rwgi","Access Point Tplink RE200",55000,0,"Redes","Importado masivamente","assets/products/prod_1778695173925rwgi.jpg"
"1778691087559no04","Adaptador Electricidad Triple",3500,0,"Adaptadores","Importado masivamente","assets/products/prod_1778691087559no04.jpg"
"1778691474664vw4x","Adaptador Encendedor Auto Doble",7500,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474664vw4x.jpg"
"1778691087559oo6i","Adaptador HDMI Hembra",4000,0,"Adaptadores","Importado masivamente","assets/products/prod_1778691087559oo6i.jpg"
"1778691087559j8gs","Adaptador HDMI VGA Sin Audio",7500,0,"Adaptadores","Importado masivamente","assets/products/prod_1778691087559j8gs.jpg"
"1778691087559otk8","Adaptador Hdmi a DVI",4500,0,"Adaptadores","Importado masivamente","assets/products/prod_1778691087559otk8.jpg"
"1778691087560kw8k","Adaptador Iphone",5000,0,"Adaptadores","Importado masivamente","assets/products/prod_1778691087560kw8k.jpg"
"1778691087560dydn","Adaptador Micro Hdmi a HDMI",4000,0,"Adaptadores","Importado masivamente","assets/products/prod_1778691087560dydn.jpg"
"1778691087560qnsw","Adaptador Mini Hdmi a HDMI",4000,0,"Adaptadores","Importado masivamente","assets/products/prod_1778691087560qnsw.jpg"
"1778691087561gr1j","Adaptador Pared 2 Patas",1000,0,"Adaptadores","Importado masivamente","assets/products/prod_1778691087561gr1j.jpg"
"17786910875612mto","Adaptador Pared 3 Patas",1000,0,"Adaptadores","Importado masivamente","assets/products/prod_17786910875612mto.jpg"
"47457","Adaptador Tipo C a 3.5 y Carga",7500,0,"Adaptadores","","assets/products/prod_1781099443790.jpg"
"1780512117912","Adaptador Tipo C a Miniplug",5000,0,"Adaptadores","","assets/products/prod_1780512117912.webp"
"1779285826178kyjk","Adaptador Tipo C a Rj45",16000,0,"Adaptadores","","assets/products/prod_1779285826178kyjk.jpg"
"1778691087561e776","Adaptador USB a RS232",13500,0,"Adaptadores","Importado masivamente","assets/products/prod_1778691087561e776.jpg"
"177869520057975y5","Adaptador Usb a Rj45 Lan Noganet",14500,0,"Adaptadores","Importado masivamente","assets/products/prod_177869520057975y5.jpg"
"17786910875616e1j","Adaptador VGA a DVI",14000,0,"Adaptadores","Importado masivamente","assets/products/prod_17786910875616e1j.jpg"
"1778691087562lz9f","Adaptador Viajero",6000,0,"Adaptadores","Importado masivamente","assets/products/prod_1778691087562lz9f.jpg"
"177869108755857xo","Adaptador doble mini plug hembra a macho",3000,0,"Cables","Importado masivamente","assets/products/prod_177869108755857xo.jpg"
"17786910875602071","Adaptador para Foco",2500,0,"Adaptadores","Importado masivamente","assets/products/prod_17786910875602071.jpg"
"1778695200581ab3u","Adaptadores Usb Kit",6000,0,"Adaptadores","Importado masivamente","assets/products/prod_1778695200581ab3u.jpg"
"17792820024450ejp","Air Keyboard",20000,0,"Teclados","","assets/products/prod_17792820024450ejp.jpg"
"1778694818567eo9k","Aire Grande Chemitec",17000,0,"Limpieza","Importado masivamente","assets/products/prod_1778694818567eo9k.jpg"
"1778694818568tw5c","Alcohol Isopropilico 1 Litro",25000,0,"Limpieza","Importado masivamente","assets/products/prod_1778694818568tw5c.jpg"
"17786948185707pf1","Alcohol Isopropilico 500 cc",15000,0,"Limpieza","Importado masivamente","assets/products/prod_17786948185707pf1.jpg"
"17786948185712saf","Alcohol Isopropilico Botella 250cm",11000,0,"Limpieza","Importado masivamente","assets/products/prod_17786948185712saf.jpg"
"17786909119811s5x","Amplificador Imagen Celular",10000,0,"Accesorios","Importado masivamente","assets/products/prod_17786909119811s5x.jpg"
"1778690911981x6uc","Anillo Celular",4000,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911981x6uc.jpg"
"1778690911982uwkr","Apoya celular",5000,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911982uwkr.jpg"
"1778690911982wt1f","Aro Selfie Chico",5000,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911982wt1f.jpg"
"1778690911982jzpn","Aro Selfie RGB",17000,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911982jzpn.jpg"
"Aur435","Auricular 17 Pro Max Tipo C",8500,0,"Auriculares","","assets/products/prod_1781099909956.jpg"
"1778691172075l803","Auricular Bluetooth A6s",10000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172075l803.jpg"
"1778691172076r1lz","Auricular Bluetooth E6s",11000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172076r1lz.jpg"
"1778691172077lv8e","Auricular Bluetooth F9",10000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172077lv8e.jpg"
"1778691172077jvjm","Auricular Bluetooth JBL",30000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172077jvjm.jpg"
"1778691172077nojr","Auricular Bluetooth JBL TWS -3",35000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172077nojr.jpg"
"177869117207894z9","Auricular Bluetooth Motorola XT220",75000,0,"Auriculares","Importado masivamente","assets/products/prod_177869117207894z9.jpg"
"1779284727530wkcy","Auricular Bluetooth Niños",25000,0,"Auriculares","","assets/products/prod_1779284727530wkcy.jpg"
"1778691172078ktxj","Auricular Bluetooth Orejas",15000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172078ktxj.jpg"
"1778691172078san9","Auricular Bluetooth P47",9500,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172078san9.jpg"
"17786911720793cm1","Auricular Bluetooth Pro 6",13000,0,"Auriculares","Importado masivamente","assets/products/prod_17786911720793cm1.jpg"
"17786911720792hnv","Auricular Bluetooth YD03",24000,0,"Auriculares","Importado masivamente","assets/products/prod_17786911720792hnv.jpg"
"AUR23574","Auricular Gamer Havit",40000,0,"Auriculares","","assets/products/prod_1781815239521.jpg"
"AUR43554","Auricular Gamer Havit 7.1",75000,0,"Auriculares","","assets/products/prod_1785273572443.jpg"
"AUR4737","Auricular Gamer Netmak",30000,0,"General","","assets/products/prod_1781815111903.jpg"
"17786941424956ui1","Auricular Gamer Raptor Core",35000,0,"Auriculares","Importado masivamente","assets/products/prod_17786941424956ui1.jpg"
"AUR2445","Auricular Gamer Raptor Core 7.1",45000,0,"Auriculares","","assets/products/prod_1787772742864.jpg"
"17786941424974xpr","Auricular Gamer Raptor Inferno",65000,0,"Auriculares","Importado masivamente","assets/products/prod_17786941424974xpr.jpg"
"Aur43554","Auricular Gamer Raptor Inferno Wireless",95000,0,"Auriculares","","assets/products/prod_1787772645219.webp"
"1778691172080fuvg","Auricular Genius G600V",59000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172080fuvg.jpg"
"1778696348239anx1","Auricular Iphone airpods Max",59000,0,"Auriculares","Importado masivamente","assets/products/prod_1778696348239anx1.jpg"
"17786911720800gd0","Auricular JBL Tune 110",22500,0,"Auriculares","Importado masivamente","assets/products/prod_17786911720800gd0.jpg"
"1778695226610veqm","Auricular Marshall Bluetooth In Ear",35000,0,"Auriculares","Importado masivamente","assets/products/prod_1778695226610veqm.jpg"
"17786952266114286","Auricular Marshall Bluetooth Vincha",45000,0,"Auriculares","Importado masivamente","assets/products/prod_17786952266114286.jpg"
"17786911720811s4d","Auricular Motorola In Ear Blister Azul",13500,0,"Auriculares","Importado masivamente","assets/products/prod_17786911720811s4d.jpg"
"17792824110370ar5","Auricular Motorola Tipo C",9500,0,"Accesorios","","assets/products/prod_17792824110370ar5.jpg"
"1778691172081evqq","Auricular Motorola XT200",60500,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172081evqq.jpg"
"Aur1235","Auricular Open Ear Bluetooth",25000,0,"Auriculares","","assets/products/prod_1781730956842.jpg"
"1778695226612filp","Auricular P9 - P9 pro max",15000,0,"Auriculares","Importado masivamente","assets/products/prod_1778695226612filp.jpg"
"17786911720816sw0","Auricular Philips 1405",14500,0,"Auriculares","Importado masivamente","assets/products/prod_17786911720816sw0.jpg"
"AUR45","Auricular Pro Air Max 3",35000,0,"Auriculares","","assets/products/prod_1784576354132.jpg"
"1778691172082ew1t","Auricular Samsung Buds",39000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172082ew1t.jpg"
"1778691172082tlbe","Auricular Samsung Manos Libres HS330",4000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172082tlbe.jpg"
